,step,episode reward,accuracy,100 eps mean,time
135,2119.0,7.0,88.36,14.4,188.340000
136,2140.0,19.0,88.41,14.5,190.190000
137,2168.0,26.0,88.53,14.7,192.870000
138,2178.0,8.0,88.47,14.7,193.770000
139,2196.0,16.0,88.5,14.6,195.250000
140,2264.0,66.0,88.97,15.2,200.980000
141,2275.0,9.0,88.92,15.2,202.050000
142,2327.0,50.0,89.22,15.7,206.910000
143,2337.0,8.0,89.17,15.5,207.650000
144,2351.0,12.0,89.15,15.5,208.950000
145,2416.0,63.0,89.53,16.1,214.730000
146,2474.0,56.0,89.83,16.5,220.360000
147,2490.0,14.0,89.83,16.5,221.740000
148,2506.0,14.0,89.82,16.6,222.850000
149,2537.0,29.0,89.92,16.8,225.280000
150,2556.0,17.0,89.93,16.9,227.160000
151,2620.0,62.0,90.24,17.4,232.220000
152,2676.0,54.0,90.47,17.8,237.500000
153,2688.0,10.0,90.44,17.8,238.480000
154,2777.0,87.0,90.84,18.6,246.220000
155,2788.0,9.0,90.81,18.6,247.190000
156,2811.0,21.0,90.83,18.7,249.450000
157,2876.0,63.0,91.08,19.0,255.520000
158,3025.0,147.0,91.69,20.4,269.630000
159,3091.0,64.0,91.89,21.0,275.830000
160,3104.0,11.0,91.86,20.9,277.040000
161,3421.0,315.0,92.92,24.0,305.040000
162,3434.0,11.0,92.89,23.9,306.100000
163,3447.0,11.0,92.87,23.9,307.210000
164,3470.0,21.0,92.88,23.9,309.280000
165,3484.0,12.0,92.85,23.9,310.650000
166,3504.0,18.0,92.85,23.9,312.450000
167,3542.0,36.0,92.9,24.2,315.110000
168,3588.0,44.0,92.98,24.6,319.360000
169,3616.0,26.0,93.0,24.5,321.830000
170,3649.0,31.0,93.03,24.7,324.880000
171,3674.0,23.0,93.04,24.9,327.290000
172,3710.0,34.0,93.08,25.2,330.760000
173,3937.0,225.0,93.6,27.3,352.080000
174,4046.0,107.0,93.8,28.2,361.280000
175,4065.0,17.0,93.79,28.3,362.780000
176,4150.0,83.0,93.92,29.0,369.380000
177,4225.0,73.0,94.03,29.7,376.260000
178,4249.0,22.0,94.03,29.8,378.420000
179,4434.0,183.0,94.33,31.5,394.640000
180,4460.0,24.0,94.33,31.6,396.740000
181,4481.0,19.0,94.33,31.6,398.680000
182,4650.0,167.0,94.57,33.1,413.870000
183,4865.0,213.0,94.86,35.2,433.810000
184,4968.0,101.0,94.96,36.0,442.510000
185,5153.0,183.0,95.17,37.8,461.040000
186,5166.0,11.0,95.15,37.8,461.750000
187,5228.0,60.0,95.2,38.3,467.780000
188,5261.0,31.0,95.2,38.5,471.010000
189,5347.0,84.0,95.27,39.3,479.460000
190,5588.0,239.0,95.51,41.6,503.080000
191,5646.0,56.0,95.54,42.0,508.260000
192,5670.0,22.0,95.53,42.1,510.190000
193,5755.0,83.0,95.59,42.8,517.560000
194,5866.0,109.0,95.67,43.8,526.710000
195,6085.0,217.0,95.84,45.9,544.140000
196,6283.0,196.0,95.98,47.8,558.340000
197,6381.0,96.0,96.04,48.6,565.350000
