,step,episode reward,accuracy,100 eps mean,time
135,2081.0,14.0,87.96,14.2,190.550000
136,2090.0,7.0,87.9,14.1,191.310000
137,2098.0,6.0,87.82,14.1,191.990000
138,2124.0,24.0,87.93,14.3,194.160000
139,2142.0,16.0,87.96,14.4,195.710000
140,2163.0,19.0,88.02,14.5,197.490000
141,2181.0,16.0,88.05,14.6,199.020000
142,2202.0,19.0,88.1,14.7,200.980000
143,2213.0,9.0,88.06,14.7,202.310000
144,2247.0,32.0,88.24,15.0,205.800000
145,2291.0,42.0,88.5,15.3,209.590000
146,2354.0,61.0,88.91,15.8,214.910000
147,2414.0,58.0,89.27,16.2,219.960000
148,2480.0,64.0,89.64,16.7,225.620000
149,2490.0,8.0,89.59,16.7,226.450000
150,2510.0,18.0,89.61,16.8,228.170000
151,2520.0,8.0,89.57,16.8,229.000000
152,2562.0,40.0,89.75,17.1,232.550000
153,2606.0,42.0,89.93,17.4,236.320000
154,2614.0,6.0,89.87,17.2,236.990000
155,2695.0,79.0,90.27,17.9,243.890000
156,2712.0,15.0,90.27,18.0,245.330000
157,2728.0,14.0,90.26,17.8,246.660000
158,2760.0,30.0,90.35,18.0,249.400000
159,2772.0,10.0,90.32,18.0,250.400000
160,2784.0,10.0,90.29,18.0,251.400000
161,2804.0,18.0,90.31,18.2,253.400000
162,2857.0,51.0,90.51,18.6,258.790000
163,2891.0,32.0,90.6,18.8,261.680000
164,3036.0,143.0,91.23,20.2,274.010000
165,3115.0,77.0,91.5,20.9,280.690000
166,3232.0,115.0,91.91,21.9,290.630000
167,3314.0,80.0,92.15,22.4,297.610000
168,3408.0,92.0,92.41,23.3,305.550000
169,3426.0,16.0,92.4,23.3,307.110000
170,3440.0,12.0,92.38,23.3,308.290000
171,3490.0,48.0,92.48,23.7,312.570000
172,3550.0,58.0,92.61,24.2,317.700000
173,3606.0,54.0,92.72,24.7,322.470000
174,3619.0,11.0,92.69,24.5,323.580000
175,3641.0,20.0,92.7,24.6,325.470000
176,3860.0,217.0,93.25,26.6,344.150000
177,3923.0,61.0,93.35,26.9,349.920000
178,3953.0,28.0,93.37,27.1,353.210000
179,4020.0,65.0,93.48,27.6,359.030000
180,4329.0,307.0,94.09,30.5,387.900000
181,4380.0,49.0,94.14,30.8,392.280000
182,4455.0,73.0,94.24,31.5,398.680000
183,4487.0,30.0,94.25,31.7,401.440000
184,4571.0,82.0,94.35,32.4,408.640000
185,5002.0,429.0,94.97,36.5,445.340000
186,5078.0,74.0,95.04,37.1,451.870000
187,5445.0,365.0,95.45,40.7,483.190000
188,5749.0,302.0,95.73,43.6,509.160000
189,5870.0,119.0,95.82,44.7,520.650000
190,5901.0,29.0,95.82,44.5,523.360000
191,6015.0,112.0,95.89,45.5,533.130000
192,6054.0,37.0,95.9,45.7,536.460000
193,6087.0,31.0,95.9,46.0,539.260000
194,6287.0,198.0,96.04,47.7,556.280000
195,6403.0,114.0,96.1,48.8,566.170000
196,6558.0,153.0,96.2,50.2,579.390000
197,7166.0,606.0,96.57,56.2,631.310000
198,7195.0,27.0,96.57,56.3,633.780000
199,7316.0,119.0,96.62,57.3,644.090000
200,7480.0,162.0,96.69,58.9,658.060000
201,7628.0,146.0,96.75,60.0,670.690000
202,8083.0,453.0,96.95,64.4,709.500000
203,8224.0,139.0,97.0,65.6,721.440000
204,8628.0,402.0,97.15,69.4,755.850000
205,8717.0,87.0,97.17,70.2,763.480000
206,9086.0,367.0,97.29,73.7,794.920000
207,9633.0,545.0,97.46,79.1,841.600000
208,9751.0,116.0,97.48,80.0,851.650000
209,9943.0,190.0,97.52,81.8,867.980000
210,10363.0,418.0,97.63,85.8,903.800000
211,10424.0,59.0,97.63,86.4,909.020000
212,10548.0,122.0,97.65,87.4,919.710000
213,10625.0,75.0,97.66,88.0,926.230000
214,10995.0,368.0,97.73,91.6,957.780000
215,11701.0,704.0,97.88,98.6,1018.050000
216,11979.0,276.0,97.93,101.2,1041.660000
217,12102.0,121.0,97.94,102.3,1052.160000
218,12778.0,674.0,98.05,108.9,1109.690000
219,12996.0,216.0,98.08,110.8,1128.730000
