,step,episode reward,accuracy,100 eps mean,time
0,23.0,22.0,94.12,22.0,0.010000
1,33.0,8.0,90.0,15.0,0.650000
2,42.0,7.0,86.36,12.3,1.390000
3,51.0,7.0,83.33,11.0,2.140000
4,70.0,17.0,86.11,12.2,3.830000
5,86.0,14.0,86.67,12.5,5.490000
6,98.0,10.0,86.0,12.1,6.840000
