,step,episode reward,accuracy,100 eps mean,time
135,3306.0,88.0,94.23,26.4,477.190000
136,3561.0,253.0,94.74,28.7,515.760000
137,3682.0,119.0,94.92,29.6,533.940000
138,3798.0,114.0,95.08,30.7,551.610000
139,3871.0,71.0,95.16,31.4,562.920000
140,3988.0,115.0,95.3,32.4,580.940000
141,4050.0,60.0,95.35,32.8,591.210000
142,4089.0,37.0,95.37,33.1,597.330000
143,4154.0,63.0,95.42,33.7,607.190000
144,4324.0,168.0,95.62,35.2,633.050000
145,4452.0,126.0,95.74,36.4,652.520000
146,4460.0,6.0,95.72,36.2,653.790000
147,4496.0,34.0,95.72,36.4,659.300000
148,4563.0,65.0,95.77,37.0,669.630000
149,4731.0,166.0,95.93,38.4,695.030000
150,4755.0,22.0,95.92,38.5,698.710000
151,4940.0,183.0,96.08,40.2,730.470000
152,5051.0,109.0,96.16,41.3,751.180000
153,5069.0,16.0,96.14,41.4,754.090000
154,5161.0,90.0,96.2,42.2,769.380000
155,5182.0,19.0,96.19,42.3,772.910000
156,5205.0,21.0,96.18,42.4,776.450000
157,5415.0,208.0,96.33,44.2,808.370000
158,5439.0,22.0,96.33,44.4,812.180000
159,5466.0,25.0,96.32,44.5,816.610000
160,5521.0,53.0,96.34,44.8,825.220000
161,5559.0,36.0,96.34,45.1,831.180000
162,5583.0,22.0,96.33,45.1,835.070000
163,5608.0,23.0,96.32,45.1,838.930000
164,5617.0,7.0,96.3,45.0,840.300000
165,5678.0,59.0,96.32,45.5,849.610000
166,5751.0,71.0,96.36,46.1,860.620000
167,5771.0,18.0,96.34,46.1,863.640000
168,5838.0,65.0,96.37,46.6,873.760000
169,5868.0,28.0,96.37,46.8,878.230000
170,5877.0,7.0,96.35,46.7,879.610000
171,6090.0,211.0,96.48,48.6,911.440000
172,6111.0,19.0,96.47,48.7,914.580000
173,6211.0,98.0,96.52,49.4,929.700000
174,6282.0,69.0,96.54,50.0,940.330000
175,6346.0,62.0,96.56,50.4,949.990000
176,6505.0,157.0,96.64,51.6,973.750000
177,6624.0,117.0,96.69,52.6,991.570000
178,6634.0,8.0,96.67,52.6,993.130000
179,6780.0,144.0,96.74,53.8,1015.310000
180,6963.0,181.0,96.82,55.3,1042.760000
181,6982.0,17.0,96.81,55.4,1045.580000
182,7191.0,207.0,96.9,57.3,1077.140000
183,7236.0,43.0,96.91,57.7,1083.870000
184,7323.0,85.0,96.93,58.4,1096.930000
185,7340.0,15.0,96.92,58.5,1099.470000
186,7406.0,64.0,96.93,59.0,1109.350000
187,7831.0,423.0,97.11,63.2,1172.910000
188,8431.0,598.0,97.34,69.1,1262.780000
189,8870.0,437.0,97.48,73.0,1328.930000
190,8930.0,58.0,97.48,73.4,1337.980000
191,9060.0,128.0,97.51,74.6,1357.410000
192,9278.0,216.0,97.57,76.7,1390.190000
193,9321.0,41.0,97.56,76.7,1396.680000
194,9357.0,34.0,97.56,77.0,1402.090000
195,9380.0,21.0,97.55,77.1,1405.560000
196,9517.0,135.0,97.58,78.4,1426.060000
197,9661.0,142.0,97.61,79.7,1447.600000
198,9728.0,65.0,97.61,80.2,1457.580000
199,9930.0,200.0,97.66,82.1,1487.910000
200,10007.0,75.0,97.66,82.7,1499.500000
201,10069.0,60.0,97.67,83.3,1508.780000
202,10202.0,131.0,97.69,84.4,1528.830000
203,10228.0,24.0,97.68,84.4,1532.730000
204,10312.0,82.0,97.69,84.9,1545.340000
205,10602.0,288.0,97.75,87.7,1588.930000
206,10632.0,28.0,97.75,87.8,1593.480000
207,10666.0,32.0,97.74,87.9,1598.560000
208,10698.0,30.0,97.74,87.6,1603.490000
209,10792.0,92.0,97.75,88.4,1617.550000
210,10837.0,43.0,97.75,88.4,1624.340000
211,10950.0,111.0,97.76,89.3,1641.280000
212,11068.0,116.0,97.78,90.3,1658.940000
213,11327.0,257.0,97.82,92.6,1697.820000
214,11604.0,275.0,97.87,94.9,1739.430000
215,12257.0,651.0,97.99,100.8,1838.050000
216,12707.0,448.0,98.06,104.8,1906.540000
217,12716.0,7.0,98.05,104.5,1907.890000
218,12752.0,34.0,98.05,104.3,1913.300000
219,12774.0,20.0,98.04,104.4,1916.570000
220,12832.0,56.0,98.04,104.8,1925.400000
221,13004.0,170.0,98.06,106.3,1952.250000
222,13162.0,156.0,98.08,107.6,1976.290000
223,13236.0,72.0,98.08,108.2,1987.420000
224,13244.0,6.0,98.07,108.0,1988.650000
225,13291.0,45.0,98.07,107.5,1995.980000
226,13312.0,19.0,98.06,107.6,1999.210000
227,13322.0,8.0,98.06,106.8,2000.770000
228,13334.0,10.0,98.05,106.7,2002.600000
229,13401.0,65.0,98.05,107.1,2012.850000
230,13468.0,65.0,98.05,107.4,2023.210000
231,13509.0,39.0,98.05,105.8,2029.420000
232,13641.0,130.0,98.06,106.4,2049.850000
233,13650.0,7.0,98.05,104.1,2051.230000
234,13817.0,165.0,98.07,104.0,2076.460000
235,13984.0,165.0,98.09,104.8,2101.450000
236,14014.0,28.0,98.08,102.5,2105.960000
237,14105.0,89.0,98.09,102.2,2119.720000
238,14168.0,61.0,98.09,101.7,2129.300000
239,14267.0,97.0,98.09,102.0,2144.180000
240,14667.0,398.0,98.14,104.8,2205.400000
