,step,episode reward,accuracy,100 eps mean,time
135,2063.0,24.0,87.77,14.0,217.800000
136,2071.0,6.0,87.69,14.0,218.840000
137,2083.0,10.0,87.66,14.0,220.450000
138,2120.0,35.0,87.89,14.2,224.840000
139,2131.0,9.0,87.85,14.2,226.170000
140,2182.0,49.0,88.21,14.6,232.440000
141,2234.0,50.0,88.56,15.1,238.980000
142,2253.0,17.0,88.59,15.2,241.110000
143,2278.0,23.0,88.67,15.4,245.330000
144,2365.0,85.0,89.27,16.1,255.660000
145,2383.0,16.0,89.28,16.2,257.670000
146,2405.0,20.0,89.32,16.2,260.500000
147,2462.0,55.0,89.63,16.6,267.080000
148,2499.0,35.0,89.77,16.8,271.510000
149,2515.0,14.0,89.77,16.8,273.290000
150,2614.0,97.0,90.31,17.8,285.220000
151,2633.0,17.0,90.32,17.7,287.650000
152,2653.0,18.0,90.33,17.7,290.260000
153,2741.0,86.0,90.75,18.5,301.220000
154,2930.0,187.0,91.6,20.4,326.060000
155,2983.0,51.0,91.75,20.4,333.720000
156,3026.0,41.0,91.86,20.7,339.970000
157,3058.0,30.0,91.91,20.9,344.260000
158,3067.0,7.0,91.87,20.9,345.420000
159,3156.0,87.0,92.15,21.5,356.420000
160,3213.0,55.0,92.29,22.0,363.610000
161,3233.0,18.0,92.29,22.1,366.070000
162,3313.0,78.0,92.5,22.7,375.850000
163,3330.0,15.0,92.49,22.7,377.940000
164,3351.0,19.0,92.49,22.8,380.530000
165,3386.0,33.0,92.54,23.1,385.450000
166,3399.0,11.0,92.51,23.1,387.610000
167,3409.0,8.0,92.48,23.1,388.930000
168,3628.0,217.0,93.09,25.2,417.200000
169,3668.0,38.0,93.14,25.5,422.160000
170,3709.0,39.0,93.2,25.8,427.520000
171,3752.0,41.0,93.25,26.1,433.100000
172,3854.0,100.0,93.46,27.0,445.800000
173,3915.0,59.0,93.55,27.5,453.720000
174,3930.0,13.0,93.53,27.6,455.570000
175,3973.0,41.0,93.58,27.9,460.980000
176,3987.0,12.0,93.56,27.9,462.740000
177,4006.0,17.0,93.55,28.0,465.180000
178,4367.0,359.0,94.25,31.5,509.660000
179,4397.0,28.0,94.26,31.7,513.410000
180,4485.0,86.0,94.38,32.5,524.330000
181,4611.0,124.0,94.55,33.6,539.900000
182,4691.0,78.0,94.64,34.2,549.840000
183,4699.0,6.0,94.61,34.2,550.920000
184,4779.0,78.0,94.69,34.9,560.830000
185,4789.0,8.0,94.67,34.9,562.110000
186,4806.0,15.0,94.65,34.9,564.260000
187,4815.0,7.0,94.63,34.9,565.450000
188,4899.0,82.0,94.72,35.6,575.900000
189,4972.0,71.0,94.78,36.2,585.240000
190,5139.0,165.0,94.98,37.7,606.810000
191,5160.0,19.0,94.97,37.6,609.460000
192,5199.0,37.0,94.99,37.7,614.270000
193,5207.0,6.0,94.96,37.6,615.320000
194,5217.0,8.0,94.94,37.6,616.560000
195,5313.0,94.0,95.03,38.4,628.550000
196,5494.0,179.0,95.21,40.1,650.890000
197,5839.0,343.0,95.55,43.3,693.460000
198,5853.0,12.0,95.54,43.3,695.230000
199,5870.0,15.0,95.53,43.4,697.390000
200,5963.0,91.0,95.59,44.2,709.090000
201,5973.0,8.0,95.57,44.0,710.540000
202,6024.0,49.0,95.59,44.3,717.930000
203,6034.0,8.0,95.57,44.1,719.190000
204,6121.0,85.0,95.63,44.8,731.650000
205,6133.0,10.0,95.61,44.7,733.180000
206,6207.0,72.0,95.65,45.3,745.130000
207,6292.0,83.0,95.7,46.0,757.290000
208,6303.0,9.0,95.68,46.1,758.750000
209,6346.0,41.0,95.69,46.4,764.240000
210,6408.0,60.0,95.72,46.7,772.820000
211,6443.0,33.0,95.73,46.5,777.740000
212,6516.0,71.0,95.76,47.0,786.840000
213,6611.0,93.0,95.82,47.9,798.580000
214,6647.0,34.0,95.82,48.1,803.000000
215,6769.0,120.0,95.89,49.1,818.440000
216,6817.0,46.0,95.9,49.3,824.850000
217,6868.0,49.0,95.92,49.5,831.220000
218,6942.0,72.0,95.95,49.9,840.800000
219,7082.0,138.0,96.03,51.1,858.210000
220,7149.0,65.0,96.06,51.7,866.430000
221,7222.0,71.0,96.08,52.2,875.490000
222,7283.0,59.0,96.1,52.5,882.920000
223,7350.0,65.0,96.13,53.1,891.170000
224,7454.0,102.0,96.17,54.0,903.830000
225,7487.0,31.0,96.17,54.3,907.850000
226,7641.0,152.0,96.25,55.5,926.640000
227,7674.0,31.0,96.25,55.8,930.720000
228,7785.0,109.0,96.3,56.8,944.420000
229,7840.0,53.0,96.31,57.1,951.240000
230,7960.0,118.0,96.36,58.2,965.940000
231,8086.0,124.0,96.41,59.3,981.370000
232,8134.0,46.0,96.42,59.5,987.280000
233,8215.0,79.0,96.44,60.1,997.270000
234,8332.0,115.0,96.49,61.0,1011.710000
235,8352.0,18.0,96.48,60.9,1014.220000
236,8364.0,10.0,96.47,60.9,1015.720000
237,8474.0,108.0,96.5,61.9,1029.170000
238,8816.0,340.0,96.65,65.0,1071.020000
239,8840.0,22.0,96.65,65.1,1074.000000
240,8875.0,33.0,96.65,64.9,1078.340000
241,9046.0,169.0,96.71,66.1,1099.180000
242,9274.0,226.0,96.79,68.2,1127.200000
243,9398.0,122.0,96.83,69.2,1142.340000
244,9449.0,49.0,96.83,68.8,1148.570000
245,9549.0,98.0,96.86,69.7,1160.870000
246,9563.0,12.0,96.85,69.6,1162.610000
247,9717.0,152.0,96.89,70.6,1181.480000
248,9753.0,34.0,96.89,70.5,1185.920000
249,9856.0,101.0,96.92,71.4,1198.440000
250,9888.0,30.0,96.91,70.7,1202.360000
251,10000.0,110.0,96.94,71.7,1216.100000
252,10345.0,343.0,97.05,74.9,1258.330000
253,10477.0,130.0,97.08,75.4,1274.700000
254,10497.0,18.0,97.07,73.7,1277.200000
255,10515.0,16.0,97.07,73.3,1279.440000
256,10542.0,25.0,97.06,73.2,1282.800000
257,10619.0,75.0,97.07,73.6,1292.340000
258,10843.0,222.0,97.13,75.8,1320.210000
259,10978.0,133.0,97.16,76.2,1336.750000
260,11021.0,41.0,97.16,76.1,1342.040000
261,11193.0,170.0,97.2,77.6,1363.190000
