,step,episode reward,accuracy,100 eps mean,time
0,14.0,13.0,87.5,13.0,0.000000
1,27.0,11.0,85.71,12.0,0.010000
2,39.0,10.0,84.21,11.3,1.130000
3,55.0,14.0,85.71,12.0,2.390000
4,69.0,12.0,85.71,12.0,3.590000
5,79.0,8.0,84.21,11.3,4.520000
6,97.0,16.0,85.71,12.0,6.040000
