,step,episode reward,accuracy,100 eps mean,time
0,8.0,7.0,50.0,7.0,0.010000
1,16.0,6.0,33.33,6.5,0.030000
2,31.0,13.0,72.73,8.7,0.040000
3,43.0,10.0,75.0,9.0,2.960000
4,53.0,8.0,73.68,8.8,4.870000
5,82.0,27.0,85.37,11.8,9.660000
6,95.0,11.0,85.11,11.7,11.550000
7,107.0,10.0,84.62,11.5,13.180000
8,123.0,14.0,85.25,11.8,15.470000
9,131.0,6.0,83.87,11.2,16.720000
10,141.0,8.0,83.08,10.9,18.380000
11,161.0,18.0,84.62,11.5,21.830000
12,178.0,15.0,85.23,11.8,24.370000
13,191.0,11.0,85.11,11.7,26.440000
14,201.0,8.0,84.54,11.5,27.790000
15,211.0,8.0,84.0,11.2,29.160000
16,224.0,11.0,83.96,11.2,30.990000
17,233.0,7.0,83.33,11.0,32.400000
18,248.0,13.0,83.62,11.1,34.700000
19,256.0,6.0,82.91,10.8,35.790000
20,264.0,6.0,82.2,10.6,36.880000
21,274.0,8.0,81.82,10.5,38.250000
22,286.0,10.0,81.75,10.5,40.090000
23,298.0,10.0,81.68,10.5,41.950000
24,311.0,11.0,81.75,10.5,43.780000
25,321.0,8.0,81.43,10.4,45.130000
26,351.0,28.0,83.44,11.0,49.610000
27,366.0,13.0,83.63,11.1,51.850000
28,376.0,8.0,83.33,11.0,53.210000
29,385.0,7.0,82.95,10.9,54.560000
30,394.0,7.0,82.58,10.7,56.040000
31,412.0,16.0,83.07,10.9,58.860000
32,423.0,9.0,82.9,10.8,60.440000
33,434.0,9.0,82.74,10.8,61.940000
34,454.0,18.0,83.33,11.0,65.020000
35,467.0,11.0,83.33,11.0,67.120000
36,486.0,17.0,83.77,11.2,70.000000
37,498.0,10.0,83.69,11.1,71.930000
38,545.0,45.0,85.71,12.0,79.500000
39,553.0,6.0,85.4,11.8,80.830000
40,564.0,9.0,85.25,11.8,82.590000
41,600.0,34.0,86.32,12.3,87.820000
42,639.0,37.0,87.32,12.9,93.710000
43,660.0,19.0,87.54,13.0,97.340000
44,674.0,12.0,87.5,13.0,99.720000
45,690.0,14.0,87.53,13.0,102.090000
46,700.0,8.0,87.37,12.9,103.640000
47,716.0,14.0,87.4,12.9,106.500000
48,730.0,12.0,87.37,12.9,108.430000
49,742.0,10.0,87.28,12.9,110.180000
50,753.0,9.0,87.15,12.8,111.920000
51,800.0,45.0,88.1,13.4,119.250000
52,816.0,14.0,88.12,13.4,121.830000
53,824.0,6.0,87.92,13.3,123.110000
54,834.0,8.0,87.78,13.2,124.590000
55,842.0,6.0,87.58,13.1,125.780000
56,891.0,47.0,88.44,13.6,133.210000
57,900.0,7.0,88.28,13.5,134.510000
58,909.0,7.0,88.13,13.4,135.940000
59,918.0,7.0,87.98,13.3,137.600000
60,929.0,9.0,87.87,13.2,139.480000
61,942.0,11.0,87.82,13.2,141.740000
62,951.0,7.0,87.67,13.1,143.140000
63,975.0,22.0,87.88,13.2,146.830000
64,991.0,14.0,87.9,13.3,149.780000
65,999.0,6.0,87.73,13.2,151.350000
66,1024.0,23.0,87.95,13.3,155.480000
67,1034.0,8.0,87.84,13.2,157.040000
68,1054.0,18.0,87.94,13.3,160.210000
69,1063.0,7.0,87.8,13.2,161.730000
70,1081.0,16.0,87.86,13.2,164.410000
71,1096.0,13.0,87.86,13.2,166.620000
72,1149.0,51.0,88.58,13.8,175.050000
73,1163.0,12.0,88.54,13.7,177.350000
74,1186.0,21.0,88.67,13.8,180.930000
75,1194.0,6.0,88.54,13.7,182.120000
76,1206.0,10.0,88.47,13.7,184.090000
77,1230.0,22.0,88.61,13.8,188.070000
78,1247.0,15.0,88.63,13.8,190.650000
79,1261.0,12.0,88.6,13.8,193.800000
80,1282.0,19.0,88.69,13.8,197.170000
81,1291.0,7.0,88.58,13.8,198.470000
82,1302.0,9.0,88.5,13.7,200.280000
83,1314.0,10.0,88.45,13.7,202.290000
84,1338.0,22.0,88.58,13.8,205.780000
85,1376.0,36.0,88.9,14.0,211.660000
86,1412.0,34.0,89.18,14.2,217.070000
87,1431.0,17.0,89.22,14.3,219.960000
88,1443.0,10.0,89.16,14.2,221.640000
89,1469.0,24.0,89.29,14.3,225.750000
90,1484.0,13.0,89.27,14.3,228.030000
91,1520.0,34.0,89.51,14.5,233.600000
92,1540.0,18.0,89.55,14.6,236.910000
93,1627.0,85.0,90.31,15.3,250.930000
94,1658.0,29.0,90.44,15.5,256.020000
95,1686.0,26.0,90.54,15.6,260.750000
96,1715.0,27.0,90.65,15.7,265.530000
97,1741.0,24.0,90.72,15.8,269.890000
98,1752.0,9.0,90.66,15.7,271.890000
99,1802.0,48.0,90.93,16.0,280.960000
100,1822.0,18.0,90.95,16.1,284.630000
101,1898.0,74.0,91.39,16.8,297.620000
102,1916.0,16.0,91.39,16.8,300.410000
103,1925.0,7.0,91.32,16.8,301.830000
104,1940.0,13.0,91.29,16.9,304.200000
105,2012.0,70.0,91.66,17.3,315.790000
106,2046.0,32.0,91.76,17.5,321.110000
107,2096.0,48.0,91.95,17.9,329.030000
108,2172.0,74.0,92.27,18.5,342.640000
109,2189.0,15.0,92.25,18.6,345.570000
110,2312.0,121.0,92.77,19.7,365.980000
111,2458.0,144.0,93.31,21.0,389.670000
112,2574.0,114.0,93.67,22.0,408.590000
113,2594.0,18.0,93.66,22.0,411.790000
114,2626.0,30.0,93.69,22.2,416.900000
115,2651.0,23.0,93.7,22.4,420.960000
116,2671.0,18.0,93.69,22.5,424.080000
117,2733.0,60.0,93.82,23.0,433.840000
118,2766.0,31.0,93.85,23.2,438.940000
119,2784.0,16.0,93.83,23.3,441.770000
120,2881.0,95.0,94.05,24.2,457.130000
121,2895.0,12.0,94.03,24.2,459.400000
122,2916.0,19.0,94.02,24.3,462.720000
123,2952.0,34.0,94.05,24.5,468.380000
124,3004.0,50.0,94.13,24.9,476.730000
125,3076.0,70.0,94.26,25.6,487.930000
126,3107.0,29.0,94.28,25.6,492.810000
127,3119.0,10.0,94.24,25.5,494.720000
128,3203.0,82.0,94.39,26.3,508.040000
129,3234.0,29.0,94.41,26.5,512.970000
130,3263.0,27.0,94.42,26.7,517.670000
131,3277.0,12.0,94.39,26.6,519.910000
132,3290.0,11.0,94.36,26.7,521.980000
133,3324.0,32.0,94.39,26.9,527.400000
134,3337.0,11.0,94.36,26.8,529.470000
135,3347.0,8.0,94.32,26.8,531.100000
136,3373.0,24.0,94.33,26.9,535.520000
137,3426.0,51.0,94.39,27.3,544.570000
138,3453.0,25.0,94.4,27.1,548.950000
139,3503.0,48.0,94.45,27.5,557.020000
140,3514.0,9.0,94.42,27.5,558.830000
